Seq,텍스트,이미지
10020,현관은 집의 첫인상을 결정짓는 공간인 만큼 밝고 따뜻한 분위기로 연출되었으면 했습니다. 현관장은 라이프스타일에 맞춘 맞춤형 현관장을 통해 효율적인 수납공간을 느끼실 수 있게 설계하였으며 영유아 용품에도 사용되는 친환경 소재인ML100 무드화이트제품을 사용하여 자연스러운 질감의 베이직 화이트컬러로 군더더기 없이 깔끔한 현관 공간을 완성해주었습니다. 또한 현관문을 통해 집안으로 들어오면 바로 보이는 중문은 단순히 냉 난방비를 절감시키는 목적뿐만아니라 미세먼지의 차단이나 소음을 차단해주는 역할을 해주는 아주 중요한 역할을 해준답니다~,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668072639532_0.jpg
10020,"거실은 취미생활이 독서인 고객님의 라이프스타일에 맞는 맞춤형 설계장을 통해 효율적인 수납공간을 느끼실 수 있습니다. 거실은 우물천장을 통해 공간을 더욱 시각적으로 넓게 확장해 주는 느낌을 주었으며, 조명은 크게 간접등과 메인등으로 나눠 시공을 했습니다. 간접등은 주백색으로 따스함을 주었고 메인등은 백색으로 시공하였습니다. 또한 폴딩도어를 설치하였습니다. 폴딩도어는 도어개폐율이 90%로 확장과 비확장이 자유로움이있으며 카페 분위기를 연출시킬수 있다는 장점이있습니다 하지만 폴딩도어를 거실에서 사용하시게 된다면 틈새가있어 단열이 조금약할수 있기때문에 외부 창은 이중창을 설치하시는걸 권장드립니다~",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668073382661_0.jpg
10020,"발코니 공간에 대해 설명해드리겠습니다~ 부드러운 햇살이 드라우는 발코니 공간에 어울리는 화이트 컬러의 수납장입니다. 설치 공간 깊이와 수납 물품에 따라 내부 구성을 변경할 수 있습니다. 내부 공간에 선반은 높이를 자유롭게 두어서 하부에는 캐리어, 박스 등 부피가 큰 물품들을 보관하고 상부에는 작은 물품들을 보관할 수 있습니다. 한샘 반침다용도장을 설치하여 깔끔한 공간을 연출해보세요~ 마지막으로 주방과 발코니 사이에는 방음과 단열이 우수한 터닝도어를 설치하였습니다.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668074004619_0.jpg
10020,집안에서 가장 중요한 침실에 대해서 설명드리겠습니다! 최대한 포근하고 호텔식 느낌을 연출하였으며 안방의 한쪽 면은 TV장과 붙박이장을 설계하였습니다. 또한 빌트인 파우더장을 같이 설계하여 효율적인 수납공간을 느끼실 수있습니다~,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668074300420_0.jpg
10020,"방 하나는 드레스룸으로 꾸며보았습니다~ 드레스룸은 한샘 바흐 화이트 시스템장을 설치하였습니다. 시스템장은 벽쪽으로 밀착시켜 시공해 공간을 잘 활용할 수 있으며 오픈된 형태로 되어있어 옷을 코디할때도 한눈에 보고 쉽게 고를 수 있고, 보관 및 정리할때도 문을 열었다 닫았다 할 필요가 없어 손쉽게 정리가 가능하다는 장점이있습니다~",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668075110145_0.jpg
10021,4인 가구가 사는 공간이에요. 기존에 답답한 주방배치 변경과 확장공사를 통해 가족을 위한 공간으로 디자인했어요 ~,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668076401707_0.jpg
10021,이 곳은 우리 집에 자랑 주방이에요. 주방은 기존에 일만 하는 공간이 아닌 가족 간에 소통을 중요시하는 배치로 디자인했답니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668068510251_0.jpg
10021,부부만의 공간 안방입니다. 안방은 기존에 화장실이 보이는 곳을 벽으로 막았죠. 그 벽을 이용해 옷을 보관할 수 있는 드레스룸으로도 사용해보세요. tv 앞쪽은 테이블을 배치하여 집안일 (가계부 정리)할 수 있는 공간도 따로 만들어 드렸어요,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668074562254_0.jpg
10021,성장기 여자아이를 위한 공간 자녀 방입니다. 초등학생이면 스스로 공부하는 공간도 따로 만들어 줘야 하는데요. 침대와 책상에 배치 그리고 외모에도 신경을 쓸 수 있게 화장대까지 챙겨주는 부모가 되어 보세요. ^^,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668074710334_0.jpg
10021,초등학교 아이를 두신 어머님의 가장 큰 공간이 아이 교육이죠 ? 아이 숙제도 봐주고 우리 아이 공부방으로 쓸 수 있게 뒤편은 책장으로 만들어 보시는 건 어떠나요 ?,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/10/1668075723217_0.jpg
